,week,Anxiety,Depression,Medication,Therapy,Needed treatment
1,1/7/18,NA,NA,NA,NA,NA
2,1/14/18,NA,NA,NA,NA,NA
3,1/21/18,NA,NA,NA,NA,NA
4,1/28/18,NA,NA,NA,NA,NA
5,2/4/18,NA,NA,NA,NA,NA
6,2/11/18,NA,NA,NA,NA,NA
7,2/18/18,NA,NA,NA,NA,NA
8,2/25/18,NA,NA,NA,NA,NA
9,3/4/18,NA,NA,NA,NA,NA
10,3/11/18,NA,NA,NA,NA,NA
11,3/18/18,NA,NA,NA,NA,NA
12,3/25/18,NA,NA,NA,NA,NA
13,4/1/18,NA,NA,NA,NA,NA
14,4/8/18,NA,NA,NA,NA,NA
15,4/15/18,NA,NA,NA,NA,NA
16,4/22/18,NA,NA,NA,NA,NA
17,4/29/18,NA,NA,NA,NA,NA
18,5/6/18,NA,NA,NA,NA,NA
19,5/13/18,NA,NA,NA,NA,NA
20,5/20/18,NA,NA,NA,NA,NA
21,5/27/18,NA,NA,NA,NA,NA
22,6/3/18,NA,NA,NA,NA,NA
23,6/10/18,NA,NA,NA,NA,NA
24,6/17/18,NA,NA,NA,NA,NA
25,6/24/18,NA,NA,NA,NA,NA
26,7/1/18,NA,NA,NA,NA,NA
27,7/8/18,NA,NA,NA,NA,NA
28,7/15/18,NA,NA,NA,NA,NA
29,7/22/18,NA,NA,NA,NA,NA
30,7/29/18,NA,NA,NA,NA,NA
31,8/5/18,NA,NA,NA,NA,NA
32,8/12/18,NA,NA,NA,NA,NA
33,8/19/18,NA,NA,NA,NA,NA
34,8/26/18,NA,NA,NA,NA,NA
35,9/2/18,NA,NA,NA,NA,NA
36,9/9/18,NA,NA,NA,NA,NA
37,9/16/18,NA,NA,NA,NA,NA
38,9/23/18,NA,NA,NA,NA,NA
39,9/30/18,NA,NA,NA,NA,NA
40,10/7/18,NA,NA,NA,NA,NA
41,10/14/18,NA,NA,NA,NA,NA
42,10/21/18,NA,NA,NA,NA,NA
43,10/28/18,NA,NA,NA,NA,NA
44,11/4/18,NA,NA,NA,NA,NA
45,11/11/18,NA,NA,NA,NA,NA
46,11/18/18,NA,NA,NA,NA,NA
47,11/25/18,NA,NA,NA,NA,NA
48,12/2/18,NA,NA,NA,NA,NA
49,12/9/18,NA,NA,NA,NA,NA
50,12/16/18,NA,NA,NA,NA,NA
51,12/23/18,NA,NA,NA,NA,NA
52,12/30/18,NA,NA,NA,NA,NA
53,1/6/19,NA,NA,NA,NA,NA
54,1/13/19,NA,NA,NA,NA,NA
55,1/20/19,NA,NA,NA,NA,NA
56,1/27/19,NA,NA,NA,NA,NA
57,2/3/19,NA,NA,NA,NA,NA
58,2/10/19,NA,NA,NA,NA,NA
59,2/17/19,NA,NA,NA,NA,NA
60,2/24/19,NA,NA,NA,NA,NA
61,3/3/19,NA,NA,NA,NA,NA
62,3/10/19,NA,NA,NA,NA,NA
63,3/17/19,NA,NA,NA,NA,NA
64,3/24/19,NA,NA,NA,NA,NA
65,3/31/19,NA,NA,NA,NA,NA
66,4/7/19,NA,NA,NA,NA,NA
67,4/14/19,NA,NA,NA,NA,NA
68,4/21/19,NA,NA,NA,NA,NA
69,4/28/19,NA,NA,NA,NA,NA
70,5/5/19,NA,NA,NA,NA,NA
71,5/12/19,NA,NA,NA,NA,NA
72,5/19/19,NA,NA,NA,NA,NA
73,5/26/19,NA,NA,NA,NA,NA
74,6/2/19,NA,NA,NA,NA,NA
75,6/9/19,NA,NA,NA,NA,NA
76,6/16/19,NA,NA,NA,NA,NA
77,6/23/19,NA,NA,NA,NA,NA
78,6/30/19,NA,NA,NA,NA,NA
79,7/7/19,NA,NA,NA,NA,NA
80,7/14/19,NA,NA,NA,NA,NA
81,7/21/19,NA,NA,NA,NA,NA
82,7/28/19,NA,NA,NA,NA,NA
83,8/4/19,NA,NA,NA,NA,NA
84,8/11/19,NA,NA,NA,NA,NA
85,8/18/19,NA,NA,NA,NA,NA
86,8/25/19,NA,NA,NA,NA,NA
87,9/1/19,NA,NA,NA,NA,NA
88,9/8/19,NA,NA,NA,NA,NA
89,9/15/19,NA,NA,NA,NA,NA
90,9/22/19,NA,NA,NA,NA,NA
91,9/29/19,NA,NA,NA,NA,NA
92,10/6/19,NA,NA,NA,NA,NA
93,10/13/19,NA,NA,NA,NA,NA
94,10/20/19,NA,NA,NA,NA,NA
95,10/27/19,NA,NA,NA,NA,NA
96,11/3/19,NA,NA,NA,NA,NA
97,11/10/19,NA,NA,NA,NA,NA
98,11/17/19,NA,NA,NA,NA,NA
99,11/24/19,NA,NA,NA,NA,NA
100,12/1/19,NA,NA,NA,NA,NA
101,12/8/19,NA,NA,NA,NA,NA
102,12/15/19,NA,NA,NA,NA,NA
103,12/22/19,NA,NA,NA,NA,NA
104,12/29/19,NA,NA,NA,NA,NA
105,1/5/20,NA,NA,NA,NA,NA
106,1/12/20,NA,NA,NA,NA,NA
107,1/19/20,NA,NA,NA,NA,NA
108,1/26/20,NA,NA,NA,NA,NA
109,2/2/20,NA,NA,NA,NA,NA
110,2/9/20,NA,NA,NA,NA,NA
111,2/16/20,NA,NA,NA,NA,NA
112,2/23/20,NA,NA,NA,NA,NA
113,3/1/20,NA,NA,NA,NA,NA
114,3/8/20,NA,NA,NA,NA,NA
115,3/15/20,NA,NA,NA,NA,NA
116,3/22/20,NA,NA,NA,NA,NA
117,3/29/20,NA,NA,NA,NA,NA
118,4/5/20,NA,NA,NA,NA,NA
119,4/12/20,NA,NA,NA,NA,NA
120,4/19/20,NA,NA,NA,NA,NA
121,4/26/20,0.29672673,0.18599496,NA,NA,NA
122,5/3/20,0.289871685,0.202975767,NA,NA,NA
123,5/10/20,0.26990463,0.199723395,NA,NA,NA
124,5/17/20,0.282741578,0.206645868,NA,NA,NA
125,5/24/20,0.291051922,0.209602971,NA,NA,NA
126,5/31/20,0.297913109,0.215735712,NA,NA,NA
127,6/7/20,0.300556926,0.208069928,NA,NA,NA
128,6/14/20,0.295005395,0.213394444,NA,NA,NA
129,6/21/20,0.31286441,0.21983202,NA,NA,NA
130,6/28/20,0.323077554,0.226885389,NA,NA,NA
131,7/5/20,0.338087148,0.232911285,NA,NA,NA
132,7/12/20,0.338965084,0.248420427,NA,NA,NA
133,7/19/20,,,NA,NA,NA
134,7/26/20,,,NA,NA,NA
135,8/2/20,,,NA,NA,NA
136,8/9/20,,,NA,NA,NA
137,8/16/20,,,NA,NA,NA
138,8/23/20,0.30272569,0.199014494,0.193579782,0.087486844,0.091672822
139,8/30/20,0.302339017,0.200121041,0.194967204,0.089196514,0.094252704
140,9/6/20,0.301952343,0.201227588,0.196354626,0.090906183,0.096832587
141,9/13/20,0.308096021,0.202761583,0.197115654,0.090604156,0.100495414
142,9/20/20,0.3142397,0.204295579,0.197876683,0.09030213,0.104158242
143,9/27/20,0.313512653,0.205221989,0.196452708,0.090386308,0.100664343
144,10/4/20,0.312785606,0.206148399,0.195028732,0.090470486,0.097170444
145,10/11/20,0.314589367,0.21093822,0.198731651,0.095226846,0.101346336
146,10/18/20,0.316393128,0.21572804,0.20243457,0.099983207,0.105522227
147,10/25/20,0.333604679,0.221694139,0.205429751,0.098971162,0.10895241
148,11/1/20,0.35081623,0.227660238,0.208424932,0.097959118,0.112382592
149,11/8/20,0.356180483,0.231909338,0.212200829,0.098436203,0.111909391
150,11/15/20,0.361544737,0.236158437,0.215976726,0.098913288,0.11143619
151,11/22/20,0.355288094,0.234760443,0.215043597,0.099872139,0.115596035
152,11/29/20,0.349031451,0.233362448,0.214110469,0.100830991,0.119755879
153,12/6/20,0.352301381,0.24115262,0.216083196,0.10138328,0.121995849
154,12/13/20,0.355571312,0.248942793,0.218055924,0.10193557,0.124235819
155,12/20/20,,,,,
156,12/27/20,,,,,
157,1/10/21,0.349089816,0.233249523,0.20724169,0.096341684,0.113845071
158,1/17/21,0.34864287,0.232510322,0.209613343,0.097042012,0.115312962
159,1/24/21,0.348195925,0.23177112,0.211984996,0.09774234,0.116780854
160,1/31/21,0.336509594,0.228376802,0.209879646,0.100282617,0.115723629
161,2/7/21,0.324823263,0.224982484,0.207774295,0.102822893,0.114666404
162,2/14/21,0.323313275,0.225990252,0.209608521,0.102988511,0.116612761
163,2/21/21,0.321803288,0.22699802,0.211442747,0.103154129,0.118559117
164,2/28/21,0.313488891,0.222071228,0.211453221,0.10438101,0.117871358
165,3/7/21,0.305174495,0.217144437,0.211463695,0.10560789,0.117183598
166,3/14/21,0.298835915,0.210000477,0.208681793,0.103313099,0.114189648
167,3/21/21,0.292497335,0.202856517,0.205899891,0.101018307,0.111195698
168,3/28/21,NA,NA,NA,NA,NA
169,4/4/21,NA,NA,NA,NA,NA