,week,an,de,Meds,Therapy,Unmet
1,1/5/20,NA,NA,NA,NA,NA
2,1/12/20,NA,NA,NA,NA,NA
3,1/19/20,NA,NA,NA,NA,NA
4,1/26/20,NA,NA,NA,NA,NA
5,2/2/20,NA,NA,NA,NA,NA
6,2/9/20,NA,NA,NA,NA,NA
7,2/16/20,NA,NA,NA,NA,NA
8,2/23/20,NA,NA,NA,NA,NA
9,3/1/20,NA,NA,NA,NA,NA
10,3/8/20,NA,NA,NA,NA,NA
11,3/15/20,NA,NA,NA,NA,NA
12,3/22/20,NA,NA,NA,NA,NA
13,3/29/20,NA,NA,NA,NA,NA
14,4/5/20,NA,NA,NA,NA,NA
15,4/12/20,NA,NA,NA,NA,NA
16,4/19/20,NA,NA,NA,NA,NA
17,4/26/20,0.308,0.235,NA,NA,NA
18,5/3/20,0.3,0.241,NA,NA,NA
19,5/10/20,0.282,0.244,NA,NA,NA
20,5/17/20,0.294,0.249,NA,NA,NA
21,5/24/20,0.306,0.253,NA,NA,NA
22,5/31/20,0.311,0.258,NA,NA,NA
23,6/7/20,0.317,0.251,NA,NA,NA
24,6/14/20,0.312,0.256,NA,NA,NA
25,6/21/20,0.33,0.269,NA,NA,NA
26,6/28/20,0.34,0.276,NA,NA,NA
27,7/5/20,0.356,0.281,NA,NA,NA
28,7/12/20,0.361,0.296,NA,NA,NA
29,7/19/20,NA,NA,NA,NA,NA
30,7/26/20,NA,NA,NA,NA,NA
31,8/2/20,NA,NA,NA,NA,NA
32,8/9/20,NA,NA,NA,NA,NA
33,8/16/20,NA,NA,NA,NA,NA
34,8/23/20,0.314,0.245,0.194,0.087,0.092
35,8/30/20,0.315,0.2445,0.195,0.089,0.0945
36,9/6/20,0.316,0.244,0.196,0.091,0.097
37,9/13/20,0.321,0.247,0.197,0.0905,0.1005
38,9/20/20,0.326,0.25,0.198,0.09,0.104
39,9/27/20,0.325,0.252,0.1965,0.09,0.1005
40,10/4/20,0.324,0.254,0.195,0.09,0.097
41,10/11/20,0.326,0.257,0.1985,0.095,0.1015
42,10/18/20,0.328,0.26,0.202,0.1,0.106
43,10/25/20,0.3455,0.2685,0.205,0.099,0.109
44,11/1/20,0.363,0.277,0.208,0.098,0.112
45,11/8/20,0.3675,0.2815,0.212,0.0985,0.1115
46,11/15/20,0.372,0.286,0.216,0.099,0.111
47,11/22/20,0.3665,0.2875,0.215,0.1,0.1155
48,11/29/20,0.361,0.289,0.214,0.101,0.12
49,12/6/20,0.365,0.2955,0.216,0.1015,0.122
50,12/13/20,0.369,0.302,0.218,0.102,0.124
51,12/20/20,0.365333333,0.296,0.214333333,0.1,0.120666667
52,12/27/20,0.361666667,0.29,0.210666667,0.098,0.117333333
53,1/10/21,0.358,0.284,0.207,0.096,0.114
54,1/17/21,NA,NA,NA,NA,NA
55,1/24/21,0.36,0.283,0.212,0.097,0.117
56,1/31/21,NA,NA,NA,NA,NA
57,2/7/21,0.338,0.279,0.208,0.103,0.115
58,2/14/21,NA,NA,NA,NA,NA
59,2/21/21,0.334,0.277,0.211,0.103,0.119
60,2/28/21,NA,NA,NA,NA,NA
61,3/7/21,0.313,0.262,0.211,0.105,0.117
62,3/14/21,NA,NA,NA,NA,NA
63,3/21/21,0.3,0.246,0.206,0.101,0.111
64,3/28/21,NA,NA,NA,NA,NA
65,4/4/21,NA,NA,NA,NA,NA